    0.27	    0.27	    0.27	    0.42	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
  252.36	    0.52	    0.40	   31.52	-1      	-1      	-1      	-1      	-1      	-1      	
    0.27	    0.27	    0.27	    0.42	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
  293.32	    0.80	    0.50	   32.74	-1      	-1      	-1      	-1      	-1      	-1      	
    0.27	    0.27	    0.27	    0.55	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
  269.63	    0.52	    0.42	   33.75	-1      	-1      	-1      	-1      	-1      	-1      	
    0.27	    0.27	    0.27	    0.55	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
  250.14	    0.53	    0.41	    4.95	-1      	-1      	-1      	-1      	-1      	-1      	
    0.27	    0.27	    0.27	    0.55	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
  274.79	    0.54	    0.42	    5.93	-1      	-1      	-1      	-1      	-1      	-1      	
    0.27	    0.27	    0.27	    0.49	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
  255.06	    0.54	    0.41	    1.52	-1      	-1      	-1      	-1      	-1      	-1      	
    0.27	    0.27	    0.27	    0.55	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
  265.06	    0.53	    0.41	    5.05	-1      	-1      	-1      	-1      	-1      	-1      	
    0.27	    0.27	    0.27	    0.49	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
  255.73	    0.54	    0.41	    1.54	-1      	-1      	-1      	-1      	-1      	-1      	
    0.27	    0.27	    0.27	    0.49	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
  267.99	    0.52	    0.40	    1.50	-1      	-1      	-1      	-1      	-1      	-1      	
    0.27	    0.27	    0.27	    0.49	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
  307.32	    0.91	    0.56	    4.37	-1      	-1      	-1      	-1      	-1      	-1      	
    0.27	    0.27	    0.27	    0.55	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
  291.35	    0.55	    0.44	    5.14	-1      	-1      	-1      	-1      	-1      	-1      	
    0.27	    0.27	    0.27	    0.71	    0.16	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
  264.96	    0.52	    0.40	    3.90	   20.28	-1      	-1      	-1      	-1      	-1      	
    0.27	    0.27	    0.27	    0.49	    0.27	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
  255.98	    0.54	    0.42	    3.30	    0.05	-1      	-1      	-1      	-1      	-1      	
    0.27	    0.27	    0.27	    0.71	    0.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
  293.75	    0.54	    0.41	    3.82	    0.22	-1      	-1      	-1      	-1      	-1      	
    0.27	    0.27	    0.27	    0.55	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
  295.82	    0.54	    0.41	    4.92	-1      	-1      	-1      	-1      	-1      	-1      	
    0.27	    0.27	    0.27	    0.55	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
  285.23	    0.53	    0.40	    4.85	-1      	-1      	-1      	-1      	-1      	-1      	
