    0.66	    0.66	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
    7.18	    4.47	-1      	-1      	-1      	-1      	-1      	-1      	-1      	
    0.70	    0.70	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
   10.32	    6.19	-1      	-1      	-1      	-1      	-1      	-1      	-1      	
    0.74	    0.74	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
    4.64	    2.88	-1      	-1      	-1      	-1      	-1      	-1      	-1      	
    0.66	    0.66	    0.70	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
    7.18	    4.53	    9.83	-1      	-1      	-1      	-1      	-1      	-1      	
    0.66	    0.66	    0.70	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
    7.22	    4.59	    9.99	-1      	-1      	-1      	-1      	-1      	-1      	
    0.70	    0.70	    0.70	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
   10.45	    6.51	   10.17	-1      	-1      	-1      	-1      	-1      	-1      	
    0.74	    0.74	    0.70	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	   -1.00	
    4.75	    2.99	    6.06	-1      	-1      	-1      	-1      	-1      	-1      	
